order_date,product_id,product_name,product_category,customer_name,customer_phone_number,no_of_products_buy,product_purchase_price,product_sale_price,profit_margin,loss_margin,year,region,country,state,city
8/1/2017,15,Bread - Sour Sticks With Onion,cosmetics,Augustine Philbin,289-856-3373,65,350.57,100.73,-71.2667940782154776506831731,71.2667940782154776506831731,2023,Asia,Japan,,Shimonoseki
9/17/2022,16,Cardamon Ground,Grocery,Gilemette Dominy,108-758-9393,8,779.47,143.71,-81.5631133975650121236224614,81.5631133975650121236224614,2019,Africa,Germany,HH,Hamburg Bramfeld
5/3/2016,17,Wine - Kwv Chenin Blanc South,Clothing,Minni Le Noury,209-576-4859,68,612.58,155.81,-74.5649547814163048091677822,74.5649547814163048091677822,2014,North America,Poland,,Pieńsk
3/1/2024,18,Milk - 2% 250 Ml,Grocery,Lotta Whittock,686-973-4845,90,961.76,777.62,-19.1461487273332224255531526,19.1461487273332224255531526,2023,North America,Poland,,Kutno
1/22/2022,19,Mini - Vol Au Vents,Grocery,Tannie MacKall,867-811-4159,65,720.89,552.81,-23.3156237428733926119102776,23.3156237428733926119102776,2023,North America,Iran,,Khonj
5/25/2023,20,Longos - Assorted Sandwich,Furniture,Maurene Bauckham,212-812-9036,83,14.9,983.24,6498.9261744966442953020134228,-6498.9261744966442953020134228,2020,Asia,Indonesia,,Sigli
11/19/2015,21,"Juice - V8, Tomato",Grocery,Cale Fardon,278-416-2971,45,895.4,466.05,-47.9506365870002233638597275,47.9506365870002233638597275,2018,Asia,Poland,,Paprotnia
10/11/2020,22,Lettuce - Iceberg,Clothing,Oby Heinssen,193-858-1210,36,126.8,110.39,-12.9416403785488958990536278,12.9416403785488958990536278,2019,Asia,Indonesia,,Pataha
9/29/2022,23,"Veal - Brisket, Provimi, Bone - In",Electronics,Desdemona Bruinsma,449-882-3444,83,535.76,902.75,68.4989547558608332088995072,-68.4989547558608332088995072,2020,North America,Indonesia,,Pasar
8/20/2017,24,"Pork - Bacon, Sliced",Grocery,Kalie Armatage,433-428-8017,56,601.68,275.87,-54.150046536364845100385587,54.150046536364845100385587,2014,North America,Brazil,,Riachão do Jacuípe
9/29/2023,25,Vinegar - White,Clothing,Janean Fury,242-583-4980,22,818.47,240.29,-70.6415629161728591151783205,70.6415629161728591151783205,2014,Asia,Mexico,MIC,Lazaro Cardenas
12/26/2023,26,"Pasta - Lasagne, Fresh",Furniture,Modestine Heikkinen,886-322-7095,22,202.2,470.44,132.6607319485657764589515331,-132.6607319485657764589515331,2022,Asia,Philippines,,Libas
5/10/2023,27,Scallops - 10/20,Electronics,Rosette Crame,714-474-0784,87,964.83,803.96,-16.6734036047801167044971653,16.6734036047801167044971653,2023,Africa,Philippines,,Cuevas
7/24/2022,28,Steampan Lid,Grocery,Martyn Rigate,649-860-8733,5,512.85,282.03,-45.0073120795554255630301258,45.0073120795554255630301258,2020,Asia,Russia,,Monastyrshchina
10/9/2016,29,Evaporated Milk - Skim,Furniture,Erny Deverock,889-769-7742,80,153.98,686.56,345.8760878036108585530588388,-345.8760878036108585530588388,2018,Asia,Brazil,,Esperantina
3/17/2022,30,"Water - Spring Water, 355 Ml",Electronics,Susanna Fahrenbach,108-128-2995,22,826.14,392.86,-52.4463166049337884620040187,52.4463166049337884620040187,2020,Africa,Luxembourg,,Béreldange
10/28/2023,31,"Wine - Red, Mouton Cadet",Furniture,Alene Rubinfajn,963-610-2209,51,253.91,735.78,189.7798432515458233232247647,-189.7798432515458233232247647,2015,Africa,Greece,,Sísion
8/22/2022,32,Octopus,Furniture,Sarene Paulino,404-142-2506,38,270.97,886.53,227.1690593054581688009742776,-227.1690593054581688009742776,2018,Europe,United States,GA,Cumming
11/26/2018,33,Sauce - Thousand Island,Grocery,Yankee Cosstick,699-411-4805,14,387.22,182.49,-52.8717524921233407365322039,52.8717524921233407365322039,2016,Asia,Cameroon,,Bali
10/27/2023,34,"Juice - Orange, Concentrate",Furniture,Miof mela Schaumaker,229-260-3448,13,300.4,508.97,69.4307589880159786950732357,-69.4307589880159786950732357,2016,Europe,France,B8,Saint-Rémy-de-Provence
8/27/2020,35,Steampan - Foil,Grocery,Rudyard Calverd,831-688-3539,96,189.02,341.73,80.7903925510527986456459634,-80.7903925510527986456459634,2023,North America,Cyprus,,Peristerona
6/2/2020,36,Beans - Fava Fresh,Clothing,Ignazio Kinnon,257-240-8835,63,390.19,614.32,57.441246572182782746866911,-57.441246572182782746866911,2016,North America,Iran,,Sūrān
8/4/2021,37,Oil - Margarine,Furniture,Ollie Nelius,133-816-3162,16,133.63,65.82,-50.7445932799521065628975529,50.7445932799521065628975529,2016,Africa,China,,Dayangzhou
6/17/2020,38,Pork - Backfat,Furniture,Levy Beavan,651-257-2088,18,408.73,60.2,-85.2714505908545983901352971,85.2714505908545983901352971,2016,Africa,Norway,12,Bergen
12/17/2023,39,Emulsifier,Grocery,Jasun Newdick,776-965-7367,51,412.48,217.68,-47.2265321955003878975950349,47.2265321955003878975950349,2022,Asia,Indonesia,,Sudimanik
11/22/2020,40,"Fish - Atlantic Salmon, Cold",Electronics,Marcelia Brideoke,365-593-5408,18,206.54,348.0,68.4903650624576353248765372,-68.4903650624576353248765372,2023,North America,Honduras,,Villa Nueva
12/4/2019,41,"Beef - Tongue, Cooked",cosmetics,Junina Dankersley,575-765-2028,71,333.9,524.02,56.9392033542976939203354298,-56.9392033542976939203354298,2020,North America,Russia,,Rasskazovo
2/8/2021,42,Pepper - Chili Powder,Furniture,Codie Ingledew,748-826-8452,78,933.13,746.26,-20.0261485537920761308713684,20.0261485537920761308713684,2023,North America,Argentina,,Carlos Casares
4/1/2019,43,Sauce - Thousand Island,cosmetics,May Van der Mark,809-617-6199,21,140.56,260.79,85.5364257256687535571997723,-85.5364257256687535571997723,2019,North America,France,B9,Annecy
4/27/2024,44,Ice Cream - Super Sandwich,Clothing,Lucky Olivera,572-384-6272,32,499.61,764.42,53.0033426072336422409479394,-53.0033426072336422409479394,2016,Africa,Czech Republic,,Zašová
10/6/2015,45,Carbonated Water - Peach,Furniture,Florella Jannequin,719-730-0944,96,305.27,951.32,211.6323254823598781406623645,-211.6323254823598781406623645,2022,Europe,Brazil,,Cacoal
11/25/2017,46,Milkettes - 2%,Grocery,Drucill Perris,526-479-5085,93,655.92,982.97,49.8612635687278936455665325,-49.8612635687278936455665325,2017,Asia,Nigeria,,Anchau
10/26/2018,47,Wine - Stoneliegh Sauvignon,Furniture,Lorelei Tomasutti,151-124-6061,15,358.43,964.59,169.1153084284239600479870547,-169.1153084284239600479870547,2021,Africa,Brazil,,Nova Venécia
7/30/2019,48,Kahlua,cosmetics,Garfield Godon,381-963-9871,12,543.57,634.14,16.662067443015618963518958,-16.662067443015618963518958,2020,Asia,Peru,,Vilque
5/25/2017,49,Mushroom - Chanterelle Frozen,cosmetics,Hattie Chansonnau,320-977-5345,89,549.86,882.4,60.4772123813334303277197832,-60.4772123813334303277197832,2017,Asia,El Salvador,,Guazapa
6/7/2022,50,Salmon Steak - Cohoe 6 Oz,Clothing,Geno Spinelli,786-469-7007,96,40.53,789.49,1847.9151245990624228966197878,-1847.9151245990624228966197878,2020,Africa,France,B9,Lyon
4/8/2018,51,Cardamon Seed / Pod,Electronics,Fan Chellam,185-820-4084,100,149.36,909.21,508.7372790573111944295661489,-508.7372790573111944295661489,2018,North America,Argentina,,Caleta Olivia
3/30/2016,52,"Crush - Orange, 355ml",Furniture,Sissie Metts,399-215-4735,62,806.88,290.42,-64.0070394606385088241126314,64.0070394606385088241126314,2019,North America,China,,Wuxiang
12/8/2020,53,Snapple Lemon Tea,Electronics,Sansone Lamanby,595-657-4778,72,667.11,328.71,-50.7262670324234384134550524,50.7262670324234384134550524,2017,Africa,Russia,,Vidnoye
7/16/2019,54,Milk - Chocolate 500ml,Furniture,Velma Chern,632-620-8936,64,496.76,296.62,-40.289073194299057895160641,40.289073194299057895160641,2022,Africa,Portugal,17,Tijão
4/8/2016,55,Beef Ground Medium,Furniture,Christye Beckerleg,871-931-7967,28,519.45,57.8,-88.8728462797189334873423814,88.8728462797189334873423814,2022,Europe,Argentina,,Arraga
10/20/2020,56,"Pasta - Fett Alfredo, Single Serve",Clothing,Dorothee Vondrach,892-263-9358,20,185.21,817.11,341.1802818422331407591382755,-341.1802818422331407591382755,2023,North America,United Kingdom,NIR,Belfast
1/7/2015,57,Eggplant Italian,Furniture,Wallace Grushin,492-258-0995,17,639.66,932.23,45.738361004283525622987212,-45.738361004283525622987212,2018,Africa,Japan,,Mukō
6/21/2018,58,"Red Snapper - Fresh, Whole",cosmetics,Brooks Brookshaw,516-463-8072,68,798.17,869.93,8.9905659195409499229487453,-8.9905659195409499229487453,2017,North America,China,,Songyuan
10/9/2017,59,Wine - Prem Select Charddonany,Electronics,Susanna Files,698-587-1805,56,72.49,184.52,154.5454545454545454545454545,-154.5454545454545454545454545,2022,Asia,Portugal,15,Setúbal
2/22/2024,60,"Juice - Cranberry, 341 Ml",Furniture,Noami Dorkin,626-131-5563,59,918.56,750.3,-18.317801776693955756836788,18.317801776693955756836788,2021,Asia,United States,CA,Pasadena
9/15/2020,61,"Wine - White, Schroder And Schyl",Electronics,Trever Madison,190-761-0853,4,131.15,827.19,530.7205489897064430041936714,-530.7205489897064430041936714,2020,Africa,Russia,,Sukhobuzimskoye
9/24/2020,62,Cucumber - English,cosmetics,Phaidra Halksworth,731-731-9099,36,140.75,355.98,152.916518650088809946714032,-152.916518650088809946714032,2023,Asia,Indonesia,,Cidadap
9/17/2024,63,Pork - Sausage Casing,Grocery,Sammie Stubbert,997-685-4899,84,874.36,973.18,11.301980877441785992039892,-11.301980877441785992039892,2020,Asia,Kazakhstan,,Ashchysay
3/29/2023,64,Crush - Cream Soda,Grocery,Amitie Salaman,901-104-4424,42,531.75,946.39,77.9764927127409496944052656,-77.9764927127409496944052656,2022,North America,United States,TN,Memphis
4/18/2019,65,"Wine - White, Colubia Cresh",Grocery,Abramo Callaway,929-780-9579,38,368.27,418.58,13.661172509300241670513482,-13.661172509300241670513482,2016,Europe,Peru,,Colca
6/7/2020,66,Lid Tray - 16in Dome,Grocery,Gustie MacNamara,274-770-1591,100,317.25,310.18,-2.2285263987391646966115051,2.2285263987391646966115051,2023,Africa,Argentina,,Embalse
3/12/2018,67,"Crab - Claws, Snow 16 - 24",Grocery,Ray Orring,552-355-2007,45,940.24,916.21,-2.5557304517995405428401259,2.5557304517995405428401259,2016,Asia,Indonesia,,Menanga
3/12/2023,68,Squid - U 5,Grocery,Noel McLagain,642-320-1031,4,608.75,47.43,-92.2086242299794661190965092,92.2086242299794661190965092,2022,Europe,Israel,,Bené Beraq
12/2/2020,69,"Tomatoes - Plum, Canned",Clothing,Jeniffer Boatswain,895-410-2032,34,490.91,777.64,58.4078548002688883909474242,-58.4078548002688883909474242,2014,Asia,China,,Liuliping
2/9/2022,70,Bagels Poppyseed,Furniture,Kathrine Kuschel,563-867-5888,60,877.78,896.27,2.1064503634168014764519583,-2.1064503634168014764519583,2022,Asia,Philippines,,Pasian
1/22/2016,71,Watercress,Furniture,Frasier Raitie,876-127-8971,11,190.86,789.0,313.3920150895944671486953788,-313.3920150895944671486953788,2015,Europe,Laos,,Muang Xay
11/26/2020,72,Ostrich - Prime Cut,Grocery,Ingaborg Pressland,290-300-9117,78,511.84,775.55,51.521959987496092528915286,-51.521959987496092528915286,2023,Europe,Russia,,Kratovo
11/3/2015,73,Squid - Breaded,Grocery,Felicle Maynell,208-346-4313,28,876.24,336.49,-61.5984205240573358897105816,61.5984205240573358897105816,2019,Asia,Canada,MB,Melita
8/16/2023,74,Puff Pastry - Slab,Electronics,Ludwig Teece,830-308-1686,45,10.66,305.19,2762.9455909943714821763602251,-2762.9455909943714821763602251,2016,Europe,Syria,,Al Bāriqīyah
9/8/2017,75,Soup - Campbells Chicken,cosmetics,Phaidra Saller,158-403-7009,12,143.94,783.87,444.5810754481033764068361817,-444.5810754481033764068361817,2017,Africa,Japan,,Iwata
5/24/2019,76,Pepper - Chilli Seeds Mild,Furniture,Barbe Summerson,459-661-0837,78,233.46,11.24,-95.1854707444530112224792256,95.1854707444530112224792256,2021,Africa,France,A3,Orléans
7/21/2022,77,"Cheese - Woolwich Goat, Log",Clothing,Dorthy Hearley,277-186-0038,97,714.67,42.5,-94.0531993787342409783536457,94.0531993787342409783536457,2019,Europe,Sweden,T,Hallsberg
5/6/2022,78,Turkey Leg With Drum And Thigh,Grocery,Loree Tregunna,930-651-5114,93,467.47,120.03,-74.323485999101546623312726,74.323485999101546623312726,2022,Asia,Brazil,,Vassouras
9/13/2016,79,Pork - Suckling Pig,Grocery,August Dikelin,263-745-1604,95,535.56,928.92,73.4483531257002016580775263,-73.4483531257002016580775263,2021,Asia,Egypt,,Qaşr al Farāfirah
8/6/2024,80,Wine - Mondavi Coastal Private,Grocery,Harland O'Sculley,447-223-6960,41,212.89,145.72,-31.551505472309643477852412,31.551505472309643477852412,2022,Asia,Greece,,Loúros
1/4/2018,81,Flour - Teff,Electronics,Niccolo Ciccarello,749-708-5347,13,291.54,509.88,74.8919530767647664128421486,-74.8919530767647664128421486,2016,Asia,Germany,BE,Berlin
10/4/2019,82,"Nut - Walnut, Pieces",Furniture,Laney Whiley,904-143-2308,76,670.41,560.85,-16.3422383317671275786459033,16.3422383317671275786459033,2019,Asia,United States,FL,Jacksonville
5/4/2024,83,Trueblue - Blueberry,cosmetics,Miquela Coveny,410-882-9078,57,695.59,447.86,-35.6143705343665090067424776,35.6143705343665090067424776,2020,Asia,Thailand,,Phatthaya
2/8/2024,84,Cookies - Englishbay Wht,Furniture,Tana Peacher,756-753-1206,74,345.05,293.81,-14.8500217359802927112012752,14.8500217359802927112012752,2023,Europe,Spain,MC,Murcia
12/19/2023,85,Muffin Hinge - 211n,Clothing,Del Rosnau,403-748-1702,60,808.39,817.13,1.0811613206496864137359443,-1.0811613206496864137359443,2018,Europe,Sudan,,El Matama
9/24/2023,86,Energy Drink Red Bull,Electronics,Britni Edmed,493-205-7400,9,525.99,753.07,43.1719234205973497595011312,-43.1719234205973497595011312,2015,Asia,Philippines,,Lugui
6/13/2019,87,Banana - Leaves,Grocery,Sarena Ungerecht,922-543-6828,19,297.39,365.32,22.842059248797874844480312,-22.842059248797874844480312,2016,Europe,China,,Wucheng
12/18/2023,88,Appetiser - Bought,Electronics,Arlan Eccleston,797-499-5122,20,441.42,460.63,4.351864437497168229803815,-4.351864437497168229803815,2022,Africa,Russia,,Uritsk
9/28/2016,89,Bols Melon Liqueur,cosmetics,Leroy Chasemoore,950-667-1035,4,309.12,535.51,73.2369306418219461697722567,-73.2369306418219461697722567,2016,Africa,Tanzania,,Kisasa
7/17/2019,90,Wine - Jafflin Bourgongone,Furniture,Zechariah Orwell,924-114-4169,87,169.79,689.46,306.0663172153837092879439307,-306.0663172153837092879439307,2022,Africa,Poland,,Walichnowy
8/14/2016,91,Vodka - Smirnoff,Electronics,Arlena Kenwood,596-177-6627,69,653.21,385.19,-41.0312150763154268918112093,41.0312150763154268918112093,2022,Europe,Iraq,,Al Mawşil al Jadīdah
8/7/2023,92,Pork - Hock And Feet Attached,Clothing,Letisha Wudeland,273-908-9347,25,648.54,44.07,-93.2047367934128966601905819,93.2047367934128966601905819,2022,Asia,China,,Changma
10/9/2017,93,Rye Special Old,Electronics,Mick Blagdon,970-357-2908,44,632.43,441.95,-30.118748319972170833135683,30.118748319972170833135683,2017,Asia,Indonesia,,Girihieum
7/26/2015,94,Veal - Inside,Grocery,Ally Ghirigori,615-459-9853,65,277.05,848.26,206.175780545027973290019852,-206.175780545027973290019852,2017,Europe,Indonesia,,Muara Sabak
11/30/2016,95,Pork - Kidney,cosmetics,Sonnie Crabbe,991-230-5261,61,247.07,371.71,50.447241672400534261545311,-50.447241672400534261545311,2016,Africa,Japan,,Niitsu-honchō
8/3/2019,96,Langers - Ruby Red Grapfruit,Furniture,Cicily Posthill,291-614-1138,39,713.88,606.32,-15.0669580321622681683196055,15.0669580321622681683196055,2019,Asia,Indonesia,,Malabar
8/23/2016,97,Coffee - Egg Nog Capuccino,Furniture,Gwenette Kubec,585-813-4739,25,189.25,850.61,349.4636723910171730515191546,-349.4636723910171730515191546,2017,Asia,Poland,,Czerwin
9/21/2018,98,Banana - Green,Clothing,Maribeth Kellough,306-808-1549,54,863.55,700.43,-18.8894678941578368363152105,18.8894678941578368363152105,2016,Europe,Poland,,Garbów
9/6/2018,99,Mussels - Frozen,cosmetics,Jo ann Dalloway,484-611-9444,57,233.94,603.69,158.0533470120543729161323416,-158.0533470120543729161323416,2021,Africa,Ukraine,,Pochayiv
6/6/2020,100,Wine - Periguita Fonseca,Electronics,Aubrette Yonge,713-444-5125,11,477.98,789.01,65.071760324699778233398887,-65.071760324699778233398887,2020,Africa,United States,TX,Houston
11/9/2018,101,Langers - Mango Nectar,Grocery,Karlotte MacGeaney,121-507-7775,28,765.13,441.6,-42.284317697646151634362788,42.284317697646151634362788,2019,Europe,Russia,,Orda
12/7/2014,102,"Pasta - Bauletti, Chicken White",Grocery,Tades Bangiard,807-181-8584,65,878.55,62.15,-92.9258437197655227363269023,92.9258437197655227363269023,2018,Asia,Sudan,,Um Jar Al Gharbiyya
3/1/2022,103,Onions - Cooking,Clothing,Moses Varley,312-485-2298,72,538.65,38.64,-92.8265107212475633528265107,92.8265107212475633528265107,2015,Europe,Canada,QC,Saint-Lambert-de-Lauzon
1/6/2015,104,Glaze - Clear,Electronics,Delbert Officer,463-258-1998,62,123.44,934.44,656.9993519118600129617627997,-656.9993519118600129617627997,2015,North America,Vietnam,,Khánh Hải
3/30/2019,105,Eggplant Oriental,cosmetics,Ferdinand Brownsworth,845-458-3458,42,863.19,589.34,-31.7253443621914062952536522,31.7253443621914062952536522,2015,North America,Indonesia,,Beskolen
8/27/2015,106,"Lamb - Loin, Trimmed, Boneless",Electronics,Louie Middleton,651-950-7203,39,815.51,462.59,-43.2759868058025039545805692,43.2759868058025039545805692,2014,Africa,China,,Baofeng
4/8/2020,107,Gatorade - Xfactor Berry,cosmetics,Kati Blenkhorn,394-910-1351,1,4.54,943.44,20680.616740088105726872246696,-20680.616740088105726872246696,2014,Asia,China,,Jiuhua
1/4/2015,108,"Lamb - Whole, Fresh",Furniture,Bamby Joinsey,795-669-5696,34,707.97,439.7,-37.8928485670296763987174598,37.8928485670296763987174598,2014,Asia,Sweden,W,Borlänge
4/6/2024,109,Cheese - Bakers Cream Cheese,Grocery,Boote Fleckness,849-737-0456,78,19.9,312.25,1469.0954773869346733668341709,-1469.0954773869346733668341709,2015,Asia,France,B7,Saintes
8/15/2024,110,Cheese - Perron Cheddar,Furniture,Findlay Figura,638-116-1290,2,63.27,388.88,514.6356883198988462146356883,-514.6356883198988462146356883,2023,North America,China,,Shuyuan
9/3/2018,111,Butter - Pod,Clothing,Jecho Cavilla,265-914-6974,63,986.94,358.5,-63.6756033801446896467870387,63.6756033801446896467870387,2021,Europe,Greece,,Néa Palátia
3/6/2016,112,Veal - Slab Bacon,Clothing,Adah Rumke,980-672-0735,81,357.64,855.66,139.2517615479252879991052455,-139.2517615479252879991052455,2023,North America,Poland,,Frampol
4/25/2024,113,Shrimp - 31/40,cosmetics,Darnall Humm,983-772-5648,78,155.62,668.75,329.7326821745276956689371546,-329.7326821745276956689371546,2019,North America,Armenia,,Haghartsin
10/23/2018,114,Icecream Cone - Areo Chocolate,Grocery,Henry Mitchely,458-580-0158,91,726.14,171.64,-76.362684881703252816261327,76.362684881703252816261327,2015,Europe,France,A8,Chilly-Mazarin
8/2/2024,115,Bar - Granola Trail Mix Fruit Nut,Grocery,Evelyn Martyntsev,937-387-9606,89,784.07,895.24,14.1785809940438991416582703,-14.1785809940438991416582703,2019,North America,Venezuela,,Caramuca
7/29/2022,116,Chicken - Base,Grocery,Javier Smithyman,415-947-2957,26,572.17,250.87,-56.1546393554363213730185085,56.1546393554363213730185085,2015,Europe,Colombia,,Aguadas
12/7/2021,117,Bread Base - Italian,Electronics,Xenos Argontt,366-542-2891,15,136.09,383.19,181.5710191784848262179440076,-181.5710191784848262179440076,2014,Europe,China,,Fanrong
7/2/2020,118,Foil - 4oz Custard Cup,Furniture,Analise Shapero,285-648-0868,32,69.64,10.04,-85.5829982768523836875358989,85.5829982768523836875358989,2017,Asia,Nigeria,,Kumo
3/30/2017,119,Muffin - Mix - Mango Sour Cherry,Grocery,Doroteya Dickey,809-131-3305,56,490.0,349.57,-28.6591836734693877551020408,28.6591836734693877551020408,2019,Asia,Russia,,Kudara-Somon
8/2/2017,120,Canada Dry,Clothing,Goldina Beavors,366-772-4990,66,105.8,292.85,176.7958412098298676748582231,-176.7958412098298676748582231,2017,Asia,Japan,,Kuroda
4/28/2022,121,Lamb Rack Frenched Australian,Electronics,Denys Marguerite,208-115-6983,84,884.06,993.25,12.3509716535076804741759609,-12.3509716535076804741759609,2023,Europe,Peru,,Cochabamba
3/27/2021,122,Muffin - Bran Ind Wrpd,Electronics,Lucho Deverock,361-513-2887,5,669.62,736.93,10.0519697739016158418207341,-10.0519697739016158418207341,2019,Europe,China,,Zhoupu
2/16/2020,123,Lamb Rack Frenched Australian,cosmetics,Emeline Wareing,836-171-2216,15,476.87,273.14,-42.7223352276301717449199992,42.7223352276301717449199992,2022,Africa,Philippines,,Balite
4/22/2017,124,"Tomatoes - Diced, Canned",Electronics,Tildi Lewington,466-382-3516,87,538.05,686.07,27.5104544187343183718985224,-27.5104544187343183718985224,2014,Africa,Peru,,Coalaque
7/11/2022,125,"Liners - Banana, Paper",Electronics,Silvie MacQuarrie,889-241-6521,17,581.61,277.91,-52.2171214387648080328742628,52.2171214387648080328742628,2017,North America,Russia,,Sokol
1/22/2017,126,"Wine - Cahors Ac 2000, Clos",Furniture,Idelle Ducroe,335-931-9747,68,431.36,415.2,-3.7462908011869436201780415,3.7462908011869436201780415,2016,North America,Indonesia,,Krajan Gading
12/16/2016,127,"Pork - Loin, Bone - In",Clothing,Jeno Swaisland,589-852-7782,74,877.99,444.41,-49.3832503787059078121618697,49.3832503787059078121618697,2018,Africa,Portugal,01,Mealhada
11/2/2018,128,"Crab - Claws, 26 - 30",Grocery,Rhodie Lansberry,112-375-5767,95,64.26,507.29,689.4335511982570806100217865,-689.4335511982570806100217865,2018,Africa,Cuba,,Placetas
10/1/2016,129,"Tortillas - Flour, 12",Furniture,Erwin Sandifer,601-260-7443,13,277.82,556.96,100.4751277805773522424591462,-100.4751277805773522424591462,2021,Europe,Philippines,,Lamut
3/11/2019,130,Soap - Hand Soap,Grocery,Clayton Lindl,717-292-8764,99,888.95,227.68,-74.3877608414421508521289161,74.3877608414421508521289161,2015,North America,Brazil,,Itarana
9/23/2014,131,Gatorade - Orange,Furniture,Gratia Tapley,272-531-0813,58,930.23,349.18,-62.4630467733786267912236759,62.4630467733786267912236759,2021,Europe,Portugal,16,Loureiro
10/5/2020,132,Mushroom - Chanterelle Frozen,Clothing,Sibella Kettlestringe,657-372-7426,9,782.24,447.1,-42.8436285538965023522192677,42.8436285538965023522192677,2023,Europe,Indonesia,,Desakolot
2/27/2017,133,Coffee - Almond Amaretto,Clothing,Hilliary Knyvett,930-459-0155,20,452.56,16.84,-96.278946438041364680926286,96.278946438041364680926286,2022,Africa,Russia,,Psygansu
11/18/2019,134,Chinese Foods - Thick Noodles,cosmetics,Charlena Altofts,452-781-5553,47,549.16,97.52,-82.2419695534998907422244883,82.2419695534998907422244883,2015,Africa,Netherlands,06,Tilburg
4/13/2019,135,"Lemonade - Black Cherry, 591 Ml",Electronics,Amabel Pennuzzi,938-324-4899,69,643.12,589.23,-8.3794626197288219927851723,8.3794626197288219927851723,2021,Europe,Poland,,Pułtusk
9/8/2023,136,Scampi Tail,Furniture,Marti Hanlon,654-537-0005,73,698.84,651.5,-6.7740827657260603285444451,6.7740827657260603285444451,2015,Europe,Portugal,13,Quintã
3/29/2016,137,English Muffin,cosmetics,Natal Scotson,617-497-2372,48,658.17,43.05,-93.4591366972058890560189617,93.4591366972058890560189617,2021,North America,Russia,,Yessentukskaya
2/28/2019,138,"Basil - Dry, Rubbed",Clothing,Phaidra Hanbury-Brown,854-733-5558,58,643.7,933.69,45.0504893583967686810626068,-45.0504893583967686810626068,2020,Europe,Japan,,Uozu
8/30/2017,139,Chocolate Bar - Smarties,Clothing,Adria Sey,666-825-8934,56,407.41,854.66,109.7788468618836061952333031,-109.7788468618836061952333031,2022,Europe,France,97,Bordeaux
8/17/2023,140,Sugar - Crumb,Furniture,Carlene Bister,847-567-5615,49,111.65,678.98,508.1325570980743394536497985,-508.1325570980743394536497985,2020,Asia,Latvia,,Pļaviņas
8/28/2015,141,Kellogs All Bran Bars,cosmetics,Callie O' Faherty,779-353-3248,96,304.06,135.4,-55.4693152667236729592843518,55.4693152667236729592843518,2020,North America,Brazil,,Pindobaçu
